CLIENT HOST	TOTAL	SUC_RATIO	NORMAL	WRONG	LOSS	DELAY
10.150.161.145:9001	70	98.57%	69	1	0	0
	2025-12-12 05:34:06:255 CST	DATA_seq: 1		ACKed
	2025-12-12 05:34:06:282 CST	DATA_seq: 101		ACKed
	2025-12-12 05:34:06:296 CST	DATA_seq: 201		ACKed
	2025-12-12 05:34:06:311 CST	DATA_seq: 301		ACKed
	2025-12-12 05:34:06:327 CST	DATA_seq: 401		ACKed
	2025-12-12 05:34:06:343 CST	DATA_seq: 501		ACKed
	2025-12-12 05:34:06:358 CST	DATA_seq: 601		ACKed
	2025-12-12 05:34:06:373 CST	DATA_seq: 701		ACKed
	2025-12-12 05:34:06:388 CST	DATA_seq: 801		ACKed
	2025-12-12 05:34:06:404 CST	DATA_seq: 901		ACKed
	2025-12-12 05:34:06:419 CST	DATA_seq: 1001		ACKed
	2025-12-12 05:34:06:435 CST	DATA_seq: 1101		ACKed
	2025-12-12 05:34:06:450 CST	DATA_seq: 1201		ACKed
	2025-12-12 05:34:06:465 CST	DATA_seq: 1301		ACKed
	2025-12-12 05:34:06:482 CST	DATA_seq: 1401		ACKed
	2025-12-12 05:34:06:496 CST	DATA_seq: 1501		ACKed
	2025-12-12 05:34:06:513 CST	DATA_seq: 1601		ACKed
	2025-12-12 05:34:06:528 CST	DATA_seq: 1701		ACKed
	2025-12-12 05:34:06:544 CST	DATA_seq: 1801		ACKed
	2025-12-12 05:34:06:559 CST	DATA_seq: 1901		ACKed
	2025-12-12 05:34:06:575 CST	DATA_seq: 2001		ACKed
	2025-12-12 05:34:06:590 CST	DATA_seq: 2101		ACKed
	2025-12-12 05:34:06:606 CST	DATA_seq: 2201		ACKed
	2025-12-12 05:34:06:621 CST	DATA_seq: 2301		ACKed
	2025-12-12 05:34:06:637 CST	DATA_seq: 2401		ACKed
	2025-12-12 05:34:06:652 CST	DATA_seq: 2501		ACKed
	2025-12-12 05:34:06:668 CST	DATA_seq: 2601		ACKed
	2025-12-12 05:34:06:684 CST	DATA_seq: 2701		ACKed
	2025-12-12 05:34:06:699 CST	DATA_seq: 2801		ACKed
	2025-12-12 05:34:06:715 CST	DATA_seq: 2901		ACKed
	2025-12-12 05:34:06:731 CST	DATA_seq: 3001		ACKed
	2025-12-12 05:34:06:745 CST	DATA_seq: 3101		ACKed
	2025-12-12 05:34:06:761 CST	DATA_seq: 3201		ACKed
	2025-12-12 05:34:06:777 CST	DATA_seq: 3301		ACKed
	2025-12-12 05:34:06:792 CST	DATA_seq: 3401		ACKed
	2025-12-12 05:34:06:808 CST	DATA_seq: 3501		ACKed
	2025-12-12 05:34:06:823 CST	DATA_seq: 3601		ACKed
	2025-12-12 05:34:06:840 CST	DATA_seq: 3701		ACKed
	2025-12-12 05:34:06:854 CST	DATA_seq: 3801		ACKed
	2025-12-12 05:34:06:870 CST	DATA_seq: 3901		ACKed
	2025-12-12 05:34:06:886 CST	DATA_seq: 4001		ACKed
	2025-12-12 05:34:06:900 CST	DATA_seq: 4101		ACKed
	2025-12-12 05:34:06:916 CST	DATA_seq: 4201		ACKed
	2025-12-12 05:34:06:931 CST	DATA_seq: 4301		ACKed
	2025-12-12 05:34:06:948 CST	DATA_seq: 4401		ACKed
	2025-12-12 05:34:06:962 CST	DATA_seq: 4501		ACKed
	2025-12-12 05:34:06:978 CST	DATA_seq: 4601		ACKed
	2025-12-12 05:34:06:993 CST	DATA_seq: 4701		ACKed
	2025-12-12 05:34:07:009 CST	DATA_seq: 4801		ACKed
	2025-12-12 05:34:07:025 CST	DATA_seq: 4901		ACKed
	2025-12-12 05:34:07:040 CST	DATA_seq: 5001		ACKed
	2025-12-12 05:34:07:057 CST	DATA_seq: 5101		ACKed
	2025-12-12 05:34:07:072 CST	DATA_seq: 5201		ACKed
	2025-12-12 05:34:07:088 CST	DATA_seq: 5301		ACKed
	2025-12-12 05:34:07:103 CST	DATA_seq: 5401		ACKed
	2025-12-12 05:34:07:119 CST	DATA_seq: 5501		ACKed
	2025-12-12 05:34:07:134 CST	DATA_seq: 5601		ACKed
	2025-12-12 05:34:07:151 CST	DATA_seq: 5701		ACKed
	2025-12-12 05:34:07:167 CST	DATA_seq: 5801		ACKed
	2025-12-12 05:34:07:183 CST	DATA_seq: 5901		ACKed
	2025-12-12 05:34:07:198 CST	DATA_seq: 6001		ACKed
	2025-12-12 05:34:07:213 CST	DATA_seq: 6101		ACKed
	2025-12-12 05:34:07:229 CST	DATA_seq: 6201		ACKed
	2025-12-12 05:34:07:245 CST	DATA_seq: 6301		ACKed
	2025-12-12 05:34:07:261 CST	DATA_seq: 6401		ACKed
	2025-12-12 05:34:07:276 CST	DATA_seq: 6501		ACKed
	2025-12-12 05:34:07:292 CST	DATA_seq: 6601		ACKed
	2025-12-12 05:34:07:308 CST	DATA_seq: 6701		ACKed
	2025-12-12 05:34:07:322 CST	DATA_seq: 6801	WRONG	NO_ACK
	2025-12-12 05:34:07:323 CST	*Re: DATA_seq: 6801		ACKed

10.150.161.145:9002	70	100.00%	70	0	0	0
	2025-12-12 05:34:06:258 CST	ACK_ack: 1	
	2025-12-12 05:34:06:283 CST	ACK_ack: 101	
	2025-12-12 05:34:06:298 CST	ACK_ack: 201	
	2025-12-12 05:34:06:312 CST	ACK_ack: 301	
	2025-12-12 05:34:06:328 CST	ACK_ack: 401	
	2025-12-12 05:34:06:344 CST	ACK_ack: 501	
	2025-12-12 05:34:06:358 CST	ACK_ack: 601	
	2025-12-12 05:34:06:374 CST	ACK_ack: 701	
	2025-12-12 05:34:06:389 CST	ACK_ack: 801	
	2025-12-12 05:34:06:405 CST	ACK_ack: 901	
	2025-12-12 05:34:06:420 CST	ACK_ack: 1001	
	2025-12-12 05:34:06:436 CST	ACK_ack: 1101	
	2025-12-12 05:34:06:451 CST	ACK_ack: 1201	
	2025-12-12 05:34:06:466 CST	ACK_ack: 1301	
	2025-12-12 05:34:06:483 CST	ACK_ack: 1401	
	2025-12-12 05:34:06:498 CST	ACK_ack: 1501	
	2025-12-12 05:34:06:514 CST	ACK_ack: 1601	
	2025-12-12 05:34:06:529 CST	ACK_ack: 1701	
	2025-12-12 05:34:06:544 CST	ACK_ack: 1801	
	2025-12-12 05:34:06:560 CST	ACK_ack: 1901	
	2025-12-12 05:34:06:576 CST	ACK_ack: 2001	
	2025-12-12 05:34:06:592 CST	ACK_ack: 2101	
	2025-12-12 05:34:06:607 CST	ACK_ack: 2201	
	2025-12-12 05:34:06:622 CST	ACK_ack: 2301	
	2025-12-12 05:34:06:638 CST	ACK_ack: 2401	
	2025-12-12 05:34:06:654 CST	ACK_ack: 2501	
	2025-12-12 05:34:06:669 CST	ACK_ack: 2601	
	2025-12-12 05:34:06:684 CST	ACK_ack: 2701	
	2025-12-12 05:34:06:700 CST	ACK_ack: 2801	
	2025-12-12 05:34:06:716 CST	ACK_ack: 2901	
	2025-12-12 05:34:06:731 CST	ACK_ack: 3001	
	2025-12-12 05:34:06:747 CST	ACK_ack: 3101	
	2025-12-12 05:34:06:762 CST	ACK_ack: 3201	
	2025-12-12 05:34:06:778 CST	ACK_ack: 3301	
	2025-12-12 05:34:06:793 CST	ACK_ack: 3401	
	2025-12-12 05:34:06:809 CST	ACK_ack: 3501	
	2025-12-12 05:34:06:823 CST	ACK_ack: 3601	
	2025-12-12 05:34:06:840 CST	ACK_ack: 3701	
	2025-12-12 05:34:06:855 CST	ACK_ack: 3801	
	2025-12-12 05:34:06:871 CST	ACK_ack: 3901	
	2025-12-12 05:34:06:886 CST	ACK_ack: 4001	
	2025-12-12 05:34:06:902 CST	ACK_ack: 4101	
	2025-12-12 05:34:06:917 CST	ACK_ack: 4201	
	2025-12-12 05:34:06:933 CST	ACK_ack: 4301	
	2025-12-12 05:34:06:948 CST	ACK_ack: 4401	
	2025-12-12 05:34:06:964 CST	ACK_ack: 4501	
	2025-12-12 05:34:06:979 CST	ACK_ack: 4601	
	2025-12-12 05:34:06:994 CST	ACK_ack: 4701	
	2025-12-12 05:34:07:010 CST	ACK_ack: 4801	
	2025-12-12 05:34:07:025 CST	ACK_ack: 4901	
	2025-12-12 05:34:07:042 CST	ACK_ack: 5001	
	2025-12-12 05:34:07:057 CST	ACK_ack: 5101	
	2025-12-12 05:34:07:073 CST	ACK_ack: 5201	
	2025-12-12 05:34:07:089 CST	ACK_ack: 5301	
	2025-12-12 05:34:07:104 CST	ACK_ack: 5401	
	2025-12-12 05:34:07:120 CST	ACK_ack: 5501	
	2025-12-12 05:34:07:135 CST	ACK_ack: 5601	
	2025-12-12 05:34:07:152 CST	ACK_ack: 5701	
	2025-12-12 05:34:07:167 CST	ACK_ack: 5801	
	2025-12-12 05:34:07:184 CST	ACK_ack: 5901	
	2025-12-12 05:34:07:199 CST	ACK_ack: 6001	
	2025-12-12 05:34:07:213 CST	ACK_ack: 6101	
	2025-12-12 05:34:07:231 CST	ACK_ack: 6201	
	2025-12-12 05:34:07:246 CST	ACK_ack: 6301	
	2025-12-12 05:34:07:262 CST	ACK_ack: 6401	
	2025-12-12 05:34:07:277 CST	ACK_ack: 6501	
	2025-12-12 05:34:07:292 CST	ACK_ack: 6601	
	2025-12-12 05:34:07:308 CST	ACK_ack: 6701	
	2025-12-12 05:34:07:323 CST	ACK_ack: -1	
	2025-12-12 05:34:07:325 CST	ACK_ack: 6801	

